TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24067001000381',FL-I-15889,24SAK2,03/12/2024,JUNMAI GINJO,SAKEBERTO,59,JAPAN,981,SAKE - IMPORTED
'24067001000656',BWN-WA-21721,240013,03/11/2024,MAVIS'S,BARMANN CELLARS,07,WASHINGTON,80,TABLE RED WINE
'24067001000786',BWN-CA-23176,24NVSB,03/08/2024,,HOOPES,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000004',IL-I-1145,240308,03/12/2024,,TORRE DEI BEATI,50,ITALY,80A,ROSE WINE
'24068001000081',BR-PA-20527,240001,03/08/2024,,CANARY,39,PENNSYLVANIA,902,ALE
'24068001000315',BR-TX-20558,240005,03/12/2024,WARHORSE,ARMOR BREWING CO,44,TEXAS,902,ALE
'24068001000427',CA-I-2216,240089,03/11/2024,LES PERRIERES,CATHERINE ET PIERRE BRETON,51,FRANCE,80,TABLE RED WINE
'24068001000431',BR-NY-MAD-15000,240007,03/11/2024,STIRRUP TROUBLE,SIXPOINT,02,NEW YORK,902,ALE
'24068001000434',BW-CA-5368,24PNPV,03/11/2024,,PET NAME,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000435',CA-I-1717,240053,03/11/2024,,CHATEAU LE DEVOY MARTINE,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000440',BWN-CA-16833,240001,03/11/2024,ANGELICA,GOLDEN LEAVES VINEYARD & WINERY,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000441',BW-CA-5368,24MCML,03/11/2024,,MEET CUTE,01,CALIFORNIA,80,TABLE RED WINE
'24068001000447',BW-CA-5368,24APZN,03/11/2024,,APOSTATE,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000448',NY-I-1980,243084,03/11/2024,,CHATEAU LAGRANGE,51,FRANCE,80,TABLE RED WINE
'24068001000450',BR-GA-20003,24TFG1,03/08/2024,THE FLORES GUAVA,MONDAY NIGHT BREWING,08,GEORGIA,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24068001000454',MI-I-21005,240325,03/11/2024,ICONIQUE,JACQUES PICARD,51,FRANCE,84,SPARKLING WINE/CHAMPAGNE
'24068001000468',MN-I-21004,240109,03/11/2024,,AZIENDA VITIVINICOLA GIACOMETTO BRUNO,50,ITALY,81,TABLE WHITE WINE
'24068001000472',BWN-CA-23699,24BOCA,03/13/2024,CITRUS APERITIF,MOMMENPOP,01,CALIFORNIA,86,VERMOUTH/MIXED TYPES
'24068001000532',MN-I-389,241613,03/11/2024,,CHARLES VAN CANNEYT,51,FRANCE,81,TABLE WHITE WINE
'24068001000533',BWN-CA-23223,241113,03/11/2024,KILER CANYON,NENOW FAMILY WINES,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000619',TX-I-21547,241234,03/11/2024,,HENRI BOILLOT,51,FRANCE,81,TABLE WHITE WINE
'24068001000630',BWN-CO-21127,240072,03/12/2024,DREAM WEAVER,ANTELOPE RIDGE MEADERY,13,COLORADO,82M,HONEY BASED TABLE WINE
'24068001000631',IL-I-1145,240308,03/11/2024,MAZZAMURELLO,TORRE DEI BEATI,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000649',CA-I-21508,24RUDO,03/11/2024,RUDOLF,POHJALA,6D,ESTONIA,952,ALE
'24068001000677',BWN-CA-24368,24ISSS,03/12/2024,,ISOLANI WINERY,01,CALIFORNIA,81,TABLE WHITE WINE
'24068001000681',BR-CA-LAG-1,240055,03/11/2024,C'MON BLUE,THE LAGUNITAS BREWING CO.,01,CALIFORNIA,902,ALE
'24068001000686',BWN-CA-15039,24316A,03/12/2024,,CHISELLED,01,CALIFORNIA,80,TABLE RED WINE
'24068001000732',TPWBH-CA-21036,240020,03/11/2024,,XPLORE,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000735',CA-I-15517,240020,03/11/2024,CUVEE SABRINE,ANDRE BRUNEL,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000739',CA-I-15517,240021,03/11/2024,CUVEE EST-OUEST,ANDRE BRUNEL,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24068001000743',BWN-CA-22345,242025,03/12/2024,,FRANKENSTEIN,01,CALIFORNIA,87M,HONEY BASED DESSERT WINE
'24068001000744',CA-I-15517,240022,03/11/2024,CUVEE BECASSONNE,ANDRE BRUNEL,51,FRANCE,81,TABLE WHITE WINE
'24069001000003',BWN-CA-15685,240003,03/12/2024,,KIRKLAND SIGNATURE,01,CALIFORNIA,80,TABLE RED WINE
'24071001000030',FL-I-21456,240209,03/12/2024,TRADITION ROUGE,DOMAINE BRAZILIER,51,FRANCE,80,TABLE RED WINE
'24071001000031',FL-I-21456,240210,03/12/2024,TRADITION BLANC,DOMAINE BRAZILIER,51,FRANCE,81,TABLE WHITE WINE
'24071001000032',FL-I-21456,240211,03/12/2024,TRADITION ROSE,DOMAINE BRAZILIER,51,FRANCE,80A,ROSE WINE
'24071001000033',FL-I-21456,240212,03/12/2024,METHODE TRAD,DOMAINE BRAZILIER,51,FRANCE,81,TABLE WHITE WINE
'24071001000034',FL-I-21456,240213,03/12/2024,METHODE TRAD,DOMAINE BRAZILIER,51,FRANCE,80A,ROSE WINE
'24071001000035',BR-PA-20332,240005,03/11/2024,,TIME WEISSE 
KETTLE SOUR ALE BREWED WITH CHERRIES,39,PENNSYLVANIA,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24071001000036',FL-I-21456,240214,03/12/2024,PET NAT,DOMAINE BRAZILIER,51,FRANCE,81,TABLE WHITE WINE
'24071001000037',BR-PA-20332,240005,03/11/2024,,L.O.P.A.5,39,PENNSYLVANIA,902,ALE
'24071001000038',FL-I-21456,240215,03/12/2024,MARGOT,DOMAINE BRAZILIER,51,FRANCE,80,TABLE RED WINE
'24071001000039',FL-I-21456,240216,03/12/2024,MADELEINE,DOMAINE BRAZILIER,51,FRANCE,81,TABLE WHITE WINE
'24071001000040',NY-I-15332,240006,03/12/2024,SEMPLICE MA NON BANALE,FUSO + CROTIN,50,ITALY,80,TABLE RED WINE
'24071001000043',IL-I-15117,240023,03/13/2024,,BRUNO GIACOSA,50,ITALY,81,TABLE WHITE WINE
'24071001000047',TX-I-22023,240008,03/12/2024,,QUINTA DO NOVAL,54,PORTUGAL,80,TABLE RED WINE
'24071001000115',IL-I-1261,240303,03/12/2024,,CHELSEA VENTURES, LLC,51,FRANCE,80,TABLE RED WINE
'24071001000120',IL-I-1261,240304,03/12/2024,,CHELSEA VENTURES, LLC,51,FRANCE,80,TABLE RED WINE
'24071001000123',IL-I-1261,240305,03/12/2024,,CHELSEA VENTURES, LLC,51,FRANCE,81,TABLE WHITE WINE
'24071001000124',BR-NJ-21135,240028,03/11/2024,,CONCLAVE BREWING,03,NEW JERSEY,905,PORTER
'24071001000133',CT-I-351,241999,03/12/2024,ANCESTRAL,EDMUN DO VAL,54,PORTUGAL,81,TABLE WHITE WINE
'24071001000138',NY-I-1335,240142,03/12/2024,CARPE,DOMAINE REVEILLE,51,FRANCE,81,TABLE WHITE WINE
'24071001000141',NY-I-1335,240143,03/12/2024,ELAN,DOMAINE REVEILLE,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000152',IL-I-1261,240307,03/12/2024,,CHELSEA VENTURES, LLC,51,FRANCE,81,TABLE WHITE WINE
'24071001000158',BR-NC-21583,24TIKI,03/11/2024,PEAK TIKI HAZY DOUBLE IPA,APPALACHIAN MOUNTAIN BREWERY,35,NORTH CAROLINA,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24071001000159',NY-I-1335,240146,03/12/2024,SAUVAGES NOUVEAUX,DOMAINE REVEILLE,51,FRANCE,80,TABLE RED WINE
'24071001000162',CA-I-3734,240028,03/12/2024,,HENRI BOILLOT,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000435',BR-AR-20051,240002,03/12/2024,,SAME SUNSET,12,ARKANSAS,902,ALE
'24071001000460',BWN-CA-16604,24SBAR,03/12/2024,,COLAGROSSI WINES,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000467',BW-CA-5368,24FFRL,03/12/2024,,FOREVER FLEETING,01,CALIFORNIA,81,TABLE WHITE WINE
'24071001000472',BR-MI-KBC-1,240003,03/12/2024,,VICENNIUM STOUT,06,MICHIGAN,904,STOUT
'24071001000473',FL-I-1607,24FFD1,03/12/2024,DEDICADO - GRAN CORTE,FINCA FLICHMAN,62,ARGENTINA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000474',FL-I-1607,24FFD2,03/12/2024,DEDICADO,FINCA FLICHMAN,62,ARGENTINA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000475',CA-I-3734,240033,03/12/2024,,SAMUEL BILLAUD,51,FRANCE,81,TABLE WHITE WINE
'24071001000478',BWN-CA-24336,24CAS1,03/12/2024,,THE SECRET,01,CALIFORNIA,80,TABLE RED WINE
'24071001000480',BWN-TX-21678,24RMOU,03/12/2024,,ELISA CHRISTOPHER WINES,44,TEXAS,80A,ROSE WINE
'24071001000482',OH-I-15067,24CR01,03/12/2024,,CARMES DE RIEUSSEC,51,FRANCE,81,TABLE WHITE WINE
'24071001000483',CA-I-22268,240131,03/12/2024,IL ROLLAND,FEBO,50,ITALY,81,TABLE WHITE WINE
'24071001000484',BR-MI-BRE-15001,240005,03/12/2024,CITRUS WHEAT,BREW DETROIT,06,MICHIGAN,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24071001000486',CA-I-22268,240130,03/12/2024,PARELLA,FEBO,50,ITALY,81,TABLE WHITE WINE
'24071001000487',NY-I-2017,24M109,03/12/2024,,FAMIGLIE,50,ITALY,80A,ROSE WINE
'24071001000490',NY-I-1797,243110,03/13/2024,,CISALTO,50,ITALY,80,TABLE RED WINE
'24071001000491',BR-MI-BRE-15001,240006,03/12/2024,WINTER LAGER,BREW DETROIT,06,MICHIGAN,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24071001000492',CA-I-3734,240034,03/12/2024,,GUILLEMOT-MICHEL,51,FRANCE,81,TABLE WHITE WINE
'24071001000500',BWN-CA-15212,24HIGH,03/12/2024,,TEDESCHI FAMILY WINERY,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000507',CA-I-3734,240035,03/12/2024,,DOMAINE JACQUES PRIEUR,51,FRANCE,81,TABLE WHITE WINE
'24071001000508',BW-MI-23,240016,03/12/2024,BRUT RIESLING,TABOR HILL,06,MICHIGAN,85,CARBONATED WINE
'24071001000511',BW-CA-4609,240006,03/12/2024,DANIKA RANCH,STAG'S LEAP WINE CELLARS,01,CALIFORNIA,81,TABLE WHITE WINE
'24071001000514',FL-I-21950,24ROSO,03/12/2024,,GRION,50,ITALY,80,TABLE RED WINE
'24071001000525',CA-I-3734,240036,03/12/2024,,ELIO SANDRI,50,ITALY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000535',BWN-TN-21064,240575,03/12/2024,SWEET REVENGE,FORTY CANNONS,43,TENNESSEE,81,TABLE WHITE WINE
'24071001000541',BWN-NY-21105,241001,03/12/2024,,OLDE TYME WINE,02,NEW YORK,82,TABLE FLAVORED WINE
'24071001000544',NY-I-21129,24KR05,03/12/2024,LES CLASSIQUES PINOT NOIR,VIGNERONS ARDECHOIS,51,FRANCE,80,TABLE RED WINE
'24071001000548',BWN-TN-21064,240576,03/12/2024,PIECES O' EIGHT,FORTY CANNONS,43,TENNESSEE,81,TABLE WHITE WINE
'24071001000558',BR-NC-21298,240399,03/12/2024,BIG STUFF,MIDDLE JAMES BREWING CO,35,NORTH CAROLINA,902,ALE
'24071001000560',CA-I-3225,240021,03/12/2024,,DOMAINE DE CHEVALIER,51,FRANCE,81,TABLE WHITE WINE
'24071001000563',CA-I-23690,241020,03/12/2024,FIANO,BOCCA DI LUPO,50,ITALY,81,TABLE WHITE WINE
'24071001000578',NY-I-15367,240001,03/12/2024,OUDE REINETTE ETOILE TILQUIN A L'ANCIENNE,TILQUIN,65,BELGIUM,956,MALT BEVERAGES SPECIALITIES
'24071001000587',NY-I-21129,24KR05,03/12/2024,LES CLASSIQUES CHARDONNAY,VIGNERONS ARDECHOIS,51,FRANCE,81,TABLE WHITE WINE
'24071001000596',BWN-CA-23381,2422CS,03/12/2024,,PAUMA VISTA VINEYARD,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000600',NY-I-2017,24M110,03/12/2024,I SODI DI S. NICCOLO,CASTELLARE D CASTELLINA,50,ITALY,80,TABLE RED WINE
'24071001000601',BR-MO-21109,240156,03/12/2024,,EASY PEASY LEMON SQUEEZY,29,MISSOURI,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24071001000602',NY-I-1689,240000,03/12/2024,LA FOURMI,DOMAINE AMPELHUS,51,FRANCE,81,TABLE WHITE WINE
'24071001000606',BR-MO-21109,240157,03/12/2024,,EASY PEASY LEMON SQUEEZY,29,MISSOURI,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24071001000610',MI-I-21005,240333,03/12/2024,,DOMAINE LA SOUFRANDIERE,51,FRANCE,81,TABLE WHITE WINE
'24071001000622',BWN-CA-23381,2422MC,03/12/2024,,PAUMA VISTA VINEYARD,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000636',VA-I-21031,24GFDS,03/12/2024,,VINS SCHAAL,51,FRANCE,81,TABLE WHITE WINE
'24071001000641',CA-I-3734,240040,03/12/2024,,BENOIT ENTE,51,FRANCE,81,TABLE WHITE WINE
'24071001000642',BR-VA-20317,240003,03/12/2024,COURAGE,ONE FAMILY BREWING,05,VIRGINIA,902,ALE
'24071001000643',BR-PA-20152,240405,03/12/2024,,CHE VUOI,39,PENNSYLVANIA,901,BEER
'24071001000644',VA-I-21031,24ADFS,03/12/2024,,VINS SCHAAL,51,FRANCE,81,TABLE WHITE WINE
'24071001000649',VA-I-21031,24SDGF,03/12/2024,,VINS SCHAAL,51,FRANCE,81,TABLE WHITE WINE
'24071001000650',BR-MA-21075,240311,03/12/2024,GERMAN AFTERNOONS,NOTCH,46,VERMONT,901,BEER
'24071001000655',VA-I-21031,24AGSD,03/12/2024,,VINS SCHAAL,51,FRANCE,80,TABLE RED WINE
'24071001000664',VA-I-21031,24GASS,03/12/2024,,TRE FIORI,50,ITALY,80,TABLE RED WINE
'24071001000666',BWN-AL-21059,24CSWA,03/12/2024,,OLD BLACK BEAR,01,CALIFORNIA,80,TABLE RED WINE
'24071001000667',BW-VA-28,240311,03/12/2024,FIREDOG,CHATEAU MORRISETTE,05,VIRGINIA,80,TABLE RED WINE
'24071001000673',FL-I-21878,244010,03/13/2024,,ANTONINS  ,51,FRANCE,81,TABLE WHITE WINE
'24071001000674',VA-I-21031,24GAFD,03/12/2024,1902 TOSSAL D'EN BOU,MAS DOIX,52,SPAIN,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000677',FL-I-21878,244011,03/12/2024,,ANTONINS,51,FRANCE,80,TABLE RED WINE
'24071001000688',CA-I-3734,240041,03/12/2024,,MASTROBERARDINO,50,ITALY,80,TABLE RED WINE
'24071001000694',FL-I-21878,244011,03/13/2024,,LES GRIFFONS DE PICHON BARON,51,FRANCE,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000696',MN-I-21021,240023,03/12/2024,,FRANZ GOJER,50,ITALY,81,TABLE WHITE WINE
'24071001000697',BR-CT-20107,24FB01,03/12/2024,RATTLESMITH,FALLOW BEER COMPANY,14,CONNECTICUT,902,ALE
'24071001000698',CA-I-3734,240042,03/12/2024,,JIM BARRY,63,AUSTRALIA,80,TABLE RED WINE
'24071001000699',VA-I-21031,24AFDS,03/12/2024,1903 COMA DE CASES,MAS DOIX,52,SPAIN,80,TABLE RED WINE
'24071001000708',MN-I-21021,240024,03/13/2024,,FRANZ GOJER,50,ITALY,81,TABLE WHITE WINE
'24071001000715',CA-I-23268,24DOUB,03/12/2024,DOUBLE HAPPINESS DOUBLE INDIA PALE ALE,UGLY HALF BEER,8A,TAIWAN,952,ALE
'24071001000755',CA-I-3734,240043,03/12/2024,,CHATEAU LES CARMES HAUT-BRION,51,FRANCE,80,TABLE RED WINE
'24071001000787',CA-I-2216,240094,03/13/2024,,KUENTZ-BAS,51,FRANCE,81,TABLE WHITE WINE
'24071001000789',NY-I-1335,240149,03/12/2024,BUSTRONOME VOYAGE GOURMAND EXTRA BRUT,LOMBARD,51,FRANCE,84,SPARKLING WINE/CHAMPAGNE
'24071001000885',TX-I-21499,24MZ13,03/12/2024,HIDASPETRE CABERNET FRANC,MÉSZÁROS PÁL,75,HUNGARY,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24071001000891',BWN-CA-20291,242001,03/13/2024,,RENDEZ-VOUS WINERY,01,CALIFORNIA,81,TABLE WHITE WINE
'24071001000908',TX-I-21499,24MZ15,03/12/2024,CALSSIC COLLECTION KADARKA,MÉSZÁROS PÁL,75,HUNGARY,80,TABLE RED WINE
'24071001000910',BW-CA-6555,24MW16,03/12/2024,,MARGERUM,01,CALIFORNIA,80A,ROSE WINE
'24071001000912',NY-I-21648,24PHAR,03/12/2024,L'ATYPIQUE ROSÉ,PASCAL HENRIOT,51,FRANCE,80A,ROSE WINE
'24071001000916',TX-I-21499,24MZ16,03/12/2024,CLASSIC COLLECTION KEKFRANKOS,MÉSZÁROS PÁL,75,HUNGARY,80,TABLE RED WINE
'24071001000917',BWN-CA-20291,242004,03/13/2024,,RENDEZ-VOUS WINERY,01,CALIFORNIA,80,TABLE RED WINE
