TTB ID,Permit No.,Serial Number,Completed Date,Fanciful Name,Brand Name,Origin,Origin Desc,Class/Type,Class/Type Desc
'24057001000912',VA-I-21202,240006,03/06/2024,,LAURENT ET CELINE NOTTON,51,FRANCE,81,TABLE WHITE WINE
'24057001000921',VA-I-21202,240007,03/06/2024,VIEILLES VIGNES,LAURENT & CELINE NOTTON,51,FRANCE,81,TABLE WHITE WINE
'24057001000994',BR-MO-21189,240055,03/05/2024,BREW KAT KOLSCH,VINE STREET BREWING CO.,29,MISSOURI,902,ALE
'24058001000054',DSP-CO-20031,240001,03/07/2024,,ADAPTIVE SPIRIT(S) BOURBON,13,COLORADO,101,STRAIGHT BOURBON WHISKY
'24058001000138',BW-MI-39,240201,03/06/2024,WHOLE CLUSTER,CHATEAU GRAND TRAVERSE,06,MICHIGAN,81,TABLE WHITE WINE
'24058001000254',DSP-FL-20035,240320,03/05/2024,,VOLI305,16,FLORIDA,301,VODKA 80-89 PROOF
'24058001000298',WI-I-15032,24SS02,03/05/2024,,YAHARA BAY DISTILLERS,60,ALBANIA,192,OTHER IMPORTED WHISKY USB
'24058001000302',DSP-NY-21149,240009,03/06/2024,VODKA + ICED TEA,CAPE MAY SPIRITS CO,02,NEW YORK,643,VODKA SPECIALTIES
'24058001000571',BR-MO-BOU-1,240008,03/05/2024,CELLY JUICE,QUIRKTAILS,29,MISSOURI,906,MALT BEVERAGES SPECIALITIES - FLAVORED
'24058001000601',BWN-OR-21557,240002,03/07/2024,,KNUDSEN VINEYARDS,38,OREGON,80A,ROSE WINE
'24058001000719',DSP-WI-15005,240008,03/13/2024,,45TH PARALLEL,48,WISCONSIN,642,GIN SPECIALTIES
'24058001000730',BW-WI-55,24ST05,03/05/2024,CAVALLINO,STONE'S THROW WINERY,01,CALIFORNIA,88,DESSERT /PORT/SHERRY/(COOKING) WINE
'24058001000779',FL-I-21710,24227A,03/12/2024,TRADITIONNELLE,VOL ENCHANTE,51,FRANCE,84,SPARKLING WINE/CHAMPAGNE
'24058001000979',BWN-ID-21033,240001,03/01/2024,,ROSEMARY MANOR,18,IDAHO,81,TABLE WHITE WINE
'24058001001034',NY-I-15766,24PERL,03/08/2024,,BACHELLERY,51,FRANCE,80A,ROSE WINE
'24058001001044',BW-NJ-68,240027,03/13/2024,MOCHA JAVA CREAM,TOMASELLO WINERY,03,NEW JERSEY,82,TABLE FLAVORED WINE
